,team_name,length,width,target,goal,length_translated,width_translated,matchdate,opp_backline_num,backline_num,opponent_team_name
0,Washington Huskies,627.9958274,297.71381800000006,on_target,False,-42.98347456045731,-7.457003869595894,2024-09-21,4,4,Northwestern Wildcats
1,Washington Huskies,627.9958274,297.71381800000006,on_target,False,-42.98347456045731,-7.457003869595894,2024-09-21,4,4,Northwestern Wildcats
2,Washington Huskies,627.9958274,297.71381800000006,on_target,False,-42.98347456045731,-7.457003869595894,2024-09-21,4,4,Northwestern Wildcats
3,Washington Huskies,757.64324432,332.2770895,off_target,False,-82.10915542675806,-17.799460641260993,2024-09-21,4,4,Northwestern Wildcats
4,Washington Huskies,757.64324432,332.2770895,off_target,False,-82.10915542675806,-17.799460641260993,2024-09-21,4,4,Northwestern Wildcats
5,Washington Huskies,628.01374665,434.2202136500001,on_target,True,-42.98888232617698,-48.30416430306184,2024-09-21,4,4,Northwestern Wildcats
6,Washington Huskies,628.01374665,434.2202136500001,on_target,True,-42.98888232617698,-48.30416430306184,2024-09-21,4,4,Northwestern Wildcats
7,Washington Huskies,628.0137466500001,434.22021365,on_target,True,-42.988882326177006,-48.304164303061796,2024-09-21,4,4,Northwestern Wildcats
8,Washington Huskies,628.0370918,153.00715,on_target,False,-42.99592754859924,35.84394518442222,2024-09-21,4,4,Northwestern Wildcats
9,Washington Huskies,628.0370918,153.00715,on_target,False,-42.99592754859924,35.84394518442222,2024-09-21,4,4,Northwestern Wildcats
10,Washington Huskies,628.0370918,153.00715,on_target,False,-42.99592754859924,35.84394518442222,2024-09-21,4,4,Northwestern Wildcats
11,Washington Huskies,674.57614396,434.197363,on_target,False,-57.040728022764256,-48.29732664419524,2024-09-21,4,4,Northwestern Wildcats
12,Washington Huskies,674.57614396,434.197363,on_target,False,-57.040728022764256,-48.29732664419524,2024-09-21,4,4,Northwestern Wildcats
13,Washington Huskies,674.57614396,434.197363,on_target,False,-57.040728022764256,-48.29732664419524,2024-09-21,4,4,Northwestern Wildcats
14,Washington Huskies,757.679644,250.2101125,off_target,False,-82.12014031405587,6.757652304593535,2024-09-21,4,4,Northwestern Wildcats
15,Washington Huskies,757.679644,250.21011249999998,off_target,False,-82.12014031405587,6.757652304593549,2024-09-21,4,4,Northwestern Wildcats
16,Washington Huskies,714.6974742799999,434.20395899999994,on_target,False,-69.14875457141812,-48.2993003822676,2024-09-21,4,4,Northwestern Wildcats
17,Washington Huskies,714.6974742799999,434.20395899999994,on_target,False,-69.14875457141812,-48.2993003822676,2024-09-21,4,4,Northwestern Wildcats
18,Washington Huskies,714.69747428,434.20395899999994,on_target,False,-69.14875457141815,-48.2993003822676,2024-09-21,4,4,Northwestern Wildcats
19,Washington Huskies,757.64403216,349.5573395,off_target,False,-82.1093931852661,-22.970274365551134,2024-09-21,4,4,Northwestern Wildcats
20,Washington Huskies,757.64403216,349.5573395,off_target,False,-82.1093931852661,-22.970274365551134,2024-09-21,4,4,Northwestern Wildcats
21,Washington Huskies,674.54910784,297.67875984000005,on_target,True,-57.032568919959814,-7.4465133260634815,2024-09-21,4,4,Northwestern Wildcats
22,Washington Huskies,674.54910784,297.67875984000005,on_target,True,-57.032568919959814,-7.4465133260634815,2024-09-21,4,4,Northwestern Wildcats
23,Washington Huskies,674.54910784,297.67875984,on_target,True,-57.032568919959814,-7.446513326063439,2024-09-21,4,4,Northwestern Wildcats
24,Washington Huskies,614.38918544,537.860636,off_target,False,-38.877190427411435,-79.31675487777028,2024-09-21,4,4,Northwestern Wildcats
25,Washington Huskies,614.38918544,537.860636,off_target,False,-38.877190427411435,-79.31675487777028,2024-09-21,4,4,Northwestern Wildcats
